Manufacturer,Type,Price,Min.Price
Chevrolet,Compact,11.4,11.4
Chevrolet,Compact,13.4,8.5
Chevrolet,Sporty,15.1,13.4
Buick,Midsize,15.7,14.2
Acura,Small,15.9,12.9
Chevrolet,Midsize,15.9,13.4
Chevrolet,Van,16.3,14.7
Chevrolet,Van,16.6,14.7
Chevrolet,Large,18.8,18
Buick,Large,20.8,19.9
Buick,Large,23.7,22.6
Buick,Midsize,26.3,26.3
Audi,Compact,29.1,25.9
BMW,Midsize,30,23.7
Acura,Midsize,33.9,29.2
Cadillac,Large,34.7,33
Audi,Midsize,37.7,30.8
Chevrolet,Sporty,38,34.6
Cadillac,Midsize,40.1,37.5
